feature,group1,group2,n1,n2,mean1,mean2,median1,median2,test,pval,effect,normal,equal_var,qval
flair_ET_shape_Maximum3DDiameter,High,Low,79,79,51.93572213041974,66.06770455329406,51.24451190127583,68.00735254367721,t,1.044310810759485e-05,-0.7249652139029582,True,True,0.0011661470720147583
t2_ET_shape_Maximum3DDiameter,High,Low,79,79,51.93572213041974,66.06770455329406,51.24451190127583,68.00735254367721,t,1.044310810759485e-05,-0.7249652139029582,True,True,0.0011661470720147583
TC_surf_mm2,High,Low,79,79,6109.46010618572,9072.090298809582,5928.3193359375,9089.890625,mannwhitney,1.3810452675991374e-05,-0.40073706136837045,False,True,0.0014235389681406493
t1ce_ET_glszm_GrayLevelNonUniformity,High,Low,79,79,173.93048278606273,288.63629869910966,127.64405618362451,231.0349927849928,mannwhitney,2.2101515736941076e-05,-0.3911232174331037,False,False,0.0016131218159701332
t1_ET_glrlm_GrayLevelNonUniformity,High,Low,79,79,1737.8777158354849,2868.730590893307,1063.0519748070703,2587.4943123990997,mannwhitney,3.006424531466384e-05,-0.3847139881429258,False,True,0.0016131218159701332
t1_NCR_shape_Maximum2DDiameterRow,High,Low,79,78,42.03769887751185,53.66547013539738,43.829214001622255,55.42679159957529,mannwhitney,3.106161564855966e-05,-0.3792599805258033,False,True,0.0016131218159701332
t1ce_NCR_shape_Maximum2DDiameterRow,High,Low,79,78,42.03769887751185,53.66547013539738,43.829214001622255,55.42679159957529,mannwhitney,3.106161564855966e-05,-0.3792599805258033,False,True,0.0016131218159701332
flair_NCR_shape_Maximum2DDiameterRow,High,Low,79,78,42.03769887751185,53.66547013539738,43.829214001622255,55.42679159957529,mannwhitney,3.106161564855966e-05,-0.3792599805258033,False,True,0.0016131218159701332
t2_NCR_shape_Maximum2DDiameterRow,High,Low,79,78,42.03769887751185,53.66547013539738,43.829214001622255,55.42679159957529,mannwhitney,3.106161564855966e-05,-0.3792599805258033,False,True,0.0016131218159701332
t1_ET_shape_SurfaceArea,High,Low,79,79,9425.608805124823,14835.693876802437,8690.544154614223,14520.576362515823,mannwhitney,3.1954704972810555e-05,-0.38343214228489025,False,False,0.0016131218159701332
flair_ET_shape_SurfaceArea,High,Low,79,79,9425.608805124823,14835.693876802437,8690.544154614223,14520.576362515823,mannwhitney,3.1954704972810555e-05,-0.38343214228489025,False,False,0.0016131218159701332
t2_ET_shape_SurfaceArea,High,Low,79,79,9425.608805124823,14835.693876802437,8690.544154614223,14520.576362515823,mannwhitney,3.1954704972810555e-05,-0.38343214228489025,False,False,0.0016131218159701332
t1ce_ET_shape_SurfaceArea,High,Low,79,79,9425.608805124823,14835.693876802437,8690.544154614223,14520.576362515823,mannwhitney,3.1954704972810555e-05,-0.38343214228489025,False,False,0.0016131218159701332
ET_surf_mm2,High,Low,79,79,9528.720445463929,15070.728542665893,8739.6259765625,14687.447265625,mannwhitney,3.29417705232e-05,-0.38279121935587246,False,False,0.0016131218159701332
ET_raw_surf_mm2,High,Low,79,79,9528.720445463929,15070.728542665893,8739.6259765625,14687.447265625,mannwhitney,3.29417705232e-05,-0.38279121935587246,False,False,0.0016131218159701332
flair_NCR_shape_Maximum2DDiameterSlice,High,Low,79,78,41.148970615544336,52.65972853254685,43.01162633521314,53.2435222108695,mannwhitney,3.5658168869121e-05,-0.3771502758844531,False,True,0.0016131218159701332
t1_NCR_shape_Maximum2DDiameterSlice,High,Low,79,78,41.148970615544336,52.65972853254685,43.01162633521314,53.2435222108695,mannwhitney,3.5658168869121e-05,-0.3771502758844531,False,True,0.0016131218159701332
t2_NCR_shape_Maximum2DDiameterSlice,High,Low,79,78,41.148970615544336,52.65972853254685,43.01162633521314,53.2435222108695,mannwhitney,3.5658168869121e-05,-0.3771502758844531,False,True,0.0016131218159701332
t1ce_NCR_shape_Maximum2DDiameterSlice,High,Low,79,78,41.148970615544336,52.65972853254685,43.01162633521314,53.2435222108695,mannwhitney,3.5658168869121e-05,-0.3771502758844531,False,True,0.0016131218159701332
flair_NCR_shape_Maximum3DDiameter,High,Low,79,78,48.00570469550941,60.128537779883246,48.02082881417188,59.769526270550934,mannwhitney,4.4452779991045304e-05,-0.37065887698799094,False,True,0.0016131218159701332
t1ce_NCR_shape_Maximum3DDiameter,High,Low,79,78,48.00570469550941,60.128537779883246,48.02082881417188,59.769526270550934,mannwhitney,4.4452779991045304e-05,-0.37065887698799094,False,True,0.0016131218159701332
t1_NCR_shape_Maximum3DDiameter,High,Low,79,78,48.00570469550941,60.128537779883246,48.02082881417188,59.769526270550934,mannwhitney,4.4452779991045304e-05,-0.37065887698799094,False,True,0.0016131218159701332
t2_NCR_shape_Maximum3DDiameter,High,Low,79,78,48.00570469550941,60.128537779883246,48.02082881417188,59.769526270550934,mannwhitney,4.4452779991045304e-05,-0.37065887698799094,False,True,0.0016131218159701332
t1ce_ET_shape_MajorAxisLength,High,Low,79,79,44.58455317051556,57.37456129598453,45.91952351499226,54.86395550739914,mannwhitney,4.454142327678726e-05,-0.3763819900656946,False,True,0.0016131218159701332
t2_ET_shape_MajorAxisLength,High,Low,79,79,44.58455317051556,57.37456129598453,45.91952351499226,54.86395550739914,mannwhitney,4.454142327678726e-05,-0.3763819900656946,False,True,0.0016131218159701332
t1_ET_shape_MajorAxisLength,High,Low,79,79,44.58455317051556,57.37456129598453,45.91952351499226,54.86395550739914,mannwhitney,4.454142327678726e-05,-0.3763819900656946,False,True,0.0016131218159701332
flair_ET_shape_MajorAxisLength,High,Low,79,79,44.58455317051556,57.37456129598453,45.91952351499226,54.86395550739914,mannwhitney,4.454142327678726e-05,-0.3763819900656946,False,True,0.0016131218159701332
flair_NCR_glrlm_GrayLevelNonUniformity,High,Low,79,78,628.9284708906874,1157.1846848683197,419.1602944305986,883.7450503211039,mannwhitney,4.6866632467195785e-05,-0.3765011359948069,False,False,0.0016526654606853252
t1_NCR_shape_MajorAxisLength,High,Low,79,78,36.822223933426464,47.35239026454437,36.90778672899385,46.20524656958034,mannwhitney,5.364977394594211e-05,-0.3735800064913989,False,True,0.0017116832639895818
flair_NCR_shape_MajorAxisLength,High,Low,79,78,36.822223933426464,47.35239026454437,36.90778672899385,46.20524656958034,mannwhitney,5.364977394594211e-05,-0.3735800064913989,False,True,0.0017116832639895818
t2_NCR_shape_MajorAxisLength,High,Low,79,78,36.822223933426464,47.35239026454437,36.90778672899385,46.20524656958034,mannwhitney,5.364977394594211e-05,-0.3735800064913989,False,True,0.0017116832639895818
t1ce_NCR_shape_MajorAxisLength,High,Low,79,78,36.822223933426464,47.35239026454437,36.90778672899385,46.20524656958034,mannwhitney,5.364977394594211e-05,-0.3735800064913989,False,True,0.0017116832639895818
flair_ET_firstorder_Minimum,High,Low,79,79,155.19921527331388,91.55696202531645,111.0,45.0,mannwhitney,6.446352708052679e-05,0.31725684986380387,False,True,0.0020088634020443232
flair_ET_ngtdm_Coarseness,High,Low,79,79,0.003199142441677897,0.0010132337482223089,0.0010589725262416,0.0005413184438919,mannwhitney,8.031261519346385e-05,0.3635635314853389,False,True,0.0024458841899827628
NCR_surf_mm2,High,Low,79,78,5764.231310687488,9661.633090288211,4546.552734375,8416.19287109375,mannwhitney,9.258998075005933e-05,-0.3615709185329439,False,False,0.002757123871223989
flair_NCR_shape_SurfaceArea,High,Low,79,78,5581.209986333949,9310.423055379968,4369.820473642149,8240.042574348352,mannwhitney,0.00010700871217214817,-0.35832521908471276,False,False,0.00292636070021793
t1_NCR_shape_SurfaceArea,High,Low,79,78,5581.209986333949,9310.423055379968,4369.820473642149,8240.042574348352,mannwhitney,0.00010700871217214817,-0.35832521908471276,False,False,0.00292636070021793
t2_NCR_shape_SurfaceArea,High,Low,79,78,5581.209986333949,9310.423055379968,4369.820473642149,8240.042574348352,mannwhitney,0.00010700871217214817,-0.35832521908471276,False,False,0.00292636070021793
t1ce_NCR_shape_SurfaceArea,High,Low,79,78,5581.209986333949,9310.423055379968,4369.820473642149,8240.042574348352,mannwhitney,0.00010700871217214817,-0.35832521908471276,False,False,0.00292636070021793
t1_NCR_shape_LeastAxisLength,High,Low,79,78,19.469805302694283,24.37452230091015,19.017486902804382,23.46305137437532,t,0.00013316740020420182,-0.6255254948761632,True,True,0.0033668738919552916
t1ce_NCR_shape_LeastAxisLength,High,Low,79,78,19.469805302694283,24.37452230091015,19.017486902804382,23.46305137437532,t,0.00013316740020420182,-0.6255254948761632,True,True,0.0033668738919552916
flair_NCR_shape_LeastAxisLength,High,Low,79,78,19.469805302694283,24.37452230091015,19.017486902804382,23.46305137437532,t,0.00013316740020420182,-0.6255254948761632,True,True,0.0033668738919552916
t2_NCR_shape_LeastAxisLength,High,Low,79,78,19.469805302694283,24.37452230091015,19.017486902804382,23.46305137437532,t,0.00013316740020420182,-0.6255254948761632,True,True,0.0033668738919552916
flair_ET_glrlm_GrayLevelNonUniformity,High,Low,79,79,1221.0910628948286,2080.008179595628,909.9607107150766,1733.1207209749075,mannwhitney,0.00013629412892958006,-0.35170645729850986,False,False,0.003382113569734024
t1_NCR_glrlm_GrayLevelNonUniformity,High,Low,79,78,937.3577046871229,1669.8338466638602,662.3325891355764,1233.5691438547524,mannwhitney,0.000140424133748879,-0.35215839013307365,False,False,0.0034212425313363245
flair_NCR_glszm_GrayLevelNonUniformity,High,Low,79,78,54.075658921924926,83.91528623271567,40.23076923076923,69.55737397673917,mannwhitney,0.0001444635844055939,-0.35150925024342744,False,True,0.003456807198276711
t1_ET_gldm_GrayLevelNonUniformity,High,Low,79,79,3417.550636460172,5991.457467523044,1635.7738118331715,4000.126402299928,mannwhitney,0.00017528690332519267,-0.3459381509373498,False,False,0.004106289930197355
t1_ET_ngtdm_Coarseness,High,Low,79,79,0.0026944957757050365,0.0009087730918947553,0.0009120727783936,0.0005519615512921,mannwhitney,0.00017773493727719892,0.3456176894728409,False,True,0.004106289930197355
flair_NCR_gldm_GrayLevelNonUniformity,High,Low,79,78,1065.3292887330886,2237.1071656105537,668.3081650570676,1234.0904901229433,mannwhitney,0.00018607735399834422,-0.3456669912366115,False,True,0.004226163633182733
t1ce_ET_ngtdm_Coarseness,High,Low,79,79,0.0019990971875425063,0.0006642130983298013,0.0005715309409128,0.000374829571499,mannwhitney,0.00021556419588021234,0.34113122896971637,False,False,0.004814267041324743
t1ce_ED_shape_Maximum2DDiameterColumn,High,Low,79,79,64.41456740460329,73.1542061224061,64.8459713474939,75.02666192761077,t,0.00025483921121312997,-0.5956139191562009,True,True,0.005325838765505566
flair_ED_shape_Maximum2DDiameterColumn,High,Low,79,79,64.41456740460329,73.1542061224061,64.8459713474939,75.02666192761077,t,0.00025483921121312997,-0.5956139191562009,True,True,0.005325838765505566
t1_ED_shape_Maximum2DDiameterColumn,High,Low,79,79,64.41456740460329,73.1542061224061,64.8459713474939,75.02666192761077,t,0.00025483921121312997,-0.5956139191562009,True,True,0.005325838765505566
t2_ED_shape_Maximum2DDiameterColumn,High,Low,79,79,64.41456740460329,73.1542061224061,64.8459713474939,75.02666192761077,t,0.00025483921121312997,-0.5956139191562009,True,True,0.005325838765505566
flair_ED_shape_MinorAxisLength,High,Low,79,79,50.84626507696218,58.13156218308422,51.18362652307125,57.92166529028419,t,0.00027026644481670036,-0.5930486104434288,True,True,0.005325838765505566
t1ce_ED_shape_MinorAxisLength,High,Low,79,79,50.84626507696218,58.13156218308422,51.18362652307125,57.92166529028419,t,0.00027026644481670036,-0.5930486104434288,True,True,0.005325838765505566
t2_ED_shape_MinorAxisLength,High,Low,79,79,50.84626507696218,58.13156218308422,51.18362652307125,57.92166529028419,t,0.00027026644481670036,-0.5930486104434288,True,True,0.005325838765505566
t1_ED_shape_MinorAxisLength,High,Low,79,79,50.84626507696218,58.13156218308422,51.18362652307125,57.92166529028419,t,0.00027026644481670036,-0.5930486104434288,True,True,0.005325838765505566
t2_ET_glrlm_GrayLevelNonUniformity,High,Low,79,79,1021.1941553854903,1595.0503009491272,651.8033917254868,1139.2952870517925,mannwhitney,0.00028288161849440897,-0.33472199967953853,False,True,0.005493643025833449
flair_ET_gldm_GrayLevelNonUniformity,High,Low,79,79,1899.7782936864674,3507.8280323221124,1197.6635812672175,2243.433871424525,mannwhitney,0.00037445135561783594,-0.32799230892485176,False,False,0.007168068807541431
t2_NCR_glszm_GrayLevelNonUniformity,High,Low,79,78,59.45338884274354,94.57531146329828,44.22658610271903,75.03176495920587,mannwhitney,0.00041544985853976264,-0.32651736449204805,False,True,0.007840884654130732
flair_NCR_ngtdm_Coarseness,High,Low,79,78,0.007715268281763972,0.00452044038748893,0.0024471928275411,0.00134132412386625,mannwhitney,0.0004266134486246736,0.32586822460240183,False,True,0.007939750293848092
t2_NCR_shape_Maximum2DDiameterColumn,High,Low,79,78,37.96451285984959,45.60893718049352,38.8329756778952,45.24373551457142,t,0.0004627406551518085,-0.5710901674850801,True,True,0.007998287538140428
flair_NCR_shape_Maximum2DDiameterColumn,High,Low,79,78,37.96451285984959,45.60893718049352,38.8329756778952,45.24373551457142,t,0.0004627406551518085,-0.5710901674850801,True,True,0.007998287538140428
t1ce_NCR_shape_Maximum2DDiameterColumn,High,Low,79,78,37.96451285984959,45.60893718049352,38.8329756778952,45.24373551457142,t,0.0004627406551518085,-0.5710901674850801,True,True,0.007998287538140428
t1_NCR_shape_Maximum2DDiameterColumn,High,Low,79,78,37.96451285984959,45.60893718049352,38.8329756778952,45.24373551457142,t,0.0004627406551518085,-0.5710901674850801,True,True,0.007998287538140428
t2_ET_ngtdm_Coarseness,High,Low,79,79,0.0032453029985084376,0.0011250355755968457,0.0011122125520867,0.0006605977086669,mannwhitney,0.0004681506818525035,0.3225444640282006,False,True,0.007998287538140428
flair_ET_shape_MinorAxisLength,High,Low,79,79,33.31760490040269,39.9295143153732,35.029244824066524,40.82445497964879,t,0.0004854035363798815,-0.5670322996678004,True,True,0.007998287538140428
t1_ET_shape_MinorAxisLength,High,Low,79,79,33.31760490040269,39.9295143153732,35.029244824066524,40.82445497964879,t,0.0004854035363798815,-0.5670322996678004,True,True,0.007998287538140428
t1ce_ET_shape_MinorAxisLength,High,Low,79,79,33.31760490040269,39.9295143153732,35.029244824066524,40.82445497964879,t,0.0004854035363798815,-0.5670322996678004,True,True,0.007998287538140428
t2_ET_shape_MinorAxisLength,High,Low,79,79,33.31760490040269,39.9295143153732,35.029244824066524,40.82445497964879,t,0.0004854035363798815,-0.5670322996678004,True,True,0.007998287538140428
flair_ET_ngtdm_Strength,High,Low,79,79,0.6798957058871498,0.34891641692174696,0.4593326324017017,0.2360017071616759,mannwhitney,0.0005061458412651041,0.32062169524114725,False,False,0.007998287538140428
t1ce_ET_shape_Maximum2DDiameterColumn,High,Low,79,79,42.30606033043198,49.885447161076726,42.01190307520001,52.630789467763066,t,0.0005258766588413078,-0.5634061638352252,True,True,0.007998287538140428
flair_ET_shape_Maximum2DDiameterColumn,High,Low,79,79,42.30606033043198,49.885447161076726,42.01190307520001,52.630789467763066,t,0.0005258766588413078,-0.5634061638352252,True,True,0.007998287538140428
t2_ET_shape_Maximum2DDiameterColumn,High,Low,79,79,42.30606033043198,49.885447161076726,42.01190307520001,52.630789467763066,t,0.0005258766588413078,-0.5634061638352252,True,True,0.007998287538140428
t1_ET_shape_Maximum2DDiameterColumn,High,Low,79,79,42.30606033043198,49.885447161076726,42.01190307520001,52.630789467763066,t,0.0005258766588413078,-0.5634061638352252,True,True,0.007998287538140428
TC_compactness,High,Low,79,79,0.34840660557584774,0.2760738121475942,0.3503930041331999,0.2700080594743326,t,0.0005280347258454913,0.5632202744301505,True,True,0.007998287538140428
flair_NCR_shape_MinorAxisLength,High,Low,79,78,25.974287520625005,31.435720502437718,24.2360506604627,31.853926136827553,t,0.0005431672880378947,-0.5638115514974534,True,True,0.007998287538140428
t1_NCR_shape_MinorAxisLength,High,Low,79,78,25.974287520625005,31.435720502437718,24.2360506604627,31.853926136827553,t,0.0005431672880378947,-0.5638115514974534,True,True,0.007998287538140428
t1ce_NCR_shape_MinorAxisLength,High,Low,79,78,25.974287520625005,31.435720502437718,24.2360506604627,31.853926136827553,t,0.0005431672880378947,-0.5638115514974534,True,True,0.007998287538140428
t2_NCR_shape_MinorAxisLength,High,Low,79,78,25.974287520625005,31.435720502437718,24.2360506604627,31.853926136827553,t,0.0005431672880378947,-0.5638115514974534,True,True,0.007998287538140428
TC_sphericity,High,Low,79,79,0.6906563497996013,0.6348266442816123,0.7049935476385465,0.6463368379126467,mannwhitney,0.0005759212036233521,0.31741708059605833,False,True,0.00838841753103578
t1_NCR_gldm_GrayLevelNonUniformity,High,Low,79,78,1846.653288434104,3294.275057310773,1086.1669411405917,1844.7745420377487,mannwhitney,0.0005919432277029107,-0.3177539759818241,False,False,0.008529074463676348
t1_NCR_glszm_LargeAreaHighGrayLevelEmphasis,High,Low,79,78,2599943.2805247474,6646084.19322823,339059.21428571426,971120.4283162782,mannwhitney,0.0007179843376911142,-0.31288542680947745,False,False,0.010113650372925729
t1ce_NCR_glszm_GrayLevelNonUniformity,High,Low,79,78,111.38766962131349,171.8807940116127,85.66588373458602,130.35526251526252,mannwhitney,0.0007179843376911142,-0.31288542680947745,False,True,0.010113650372925729
t2_ET_gldm_GrayLevelNonUniformity,High,Low,79,79,1444.1316955721836,2380.771269651963,904.4481086323956,1672.188674620036,mannwhitney,0.0007245600267170671,-0.31164877423489823,False,True,0.010113650372925729
t1ce_NCR_glrlm_GrayLevelNonUniformity,High,Low,79,78,786.1653281237642,1370.1240864444321,451.495371060482,858.2811905523921,mannwhitney,0.0008154093951391468,-0.30963972736124634,False,False,0.011151316594471779
TC_voxels,High,Low,79,79,29015.569620253165,43230.6582278481,23663.0,37230.0,mannwhitney,0.0008321878055575954,-0.30812369812530044,False,True,0.011151316594471779
TC_vol_ml,High,Low,79,79,29.015569620253178,43.23065822784809,23.663,37.23,mannwhitney,0.0008321878055575954,-0.30812369812530044,False,True,0.011151316594471779
TC_vol_mm3,High,Low,79,79,29015.569620253165,43230.6582278481,23663.0,37230.0,mannwhitney,0.0008321878055575954,-0.30812369812530044,False,True,0.011151316594471779
flair_ET_glszm_GrayLevelNonUniformity,High,Low,79,79,82.9241033150039,120.93843679806277,54.216699801192846,92.5197934595525,mannwhitney,0.00084267410909547,-0.3078032366607915,False,True,0.01118003273453396
t1ce_ED_shape_Sphericity,High,Low,79,79,0.3390575639603761,0.3016328669445116,0.3330291201647725,0.3087359013063106,t,0.0009207511751205492,0.5375468673294547,True,True,0.011750538806300342
t1_ED_shape_Sphericity,High,Low,79,79,0.3390575639603761,0.3016328669445116,0.3330291201647725,0.3087359013063106,t,0.0009207511751205492,0.5375468673294547,True,True,0.011750538806300342
flair_ED_shape_Sphericity,High,Low,79,79,0.3390575639603761,0.3016328669445116,0.3330291201647725,0.3087359013063106,t,0.0009207511751205492,0.5375468673294547,True,True,0.011750538806300342
t2_ED_shape_Sphericity,High,Low,79,79,0.3390575639603761,0.3016328669445116,0.3330291201647725,0.3087359013063106,t,0.0009207511751205492,0.5375468673294547,True,True,0.011750538806300342
t1ce_ET_glrlm_GrayLevelNonUniformity,High,Low,79,79,1098.9268212784839,1722.9162367064685,475.1035474580173,998.666580283474,mannwhitney,0.0009310833555591795,-0.3052395449447204,False,True,0.011770299023106608
ED_sphericity,High,Low,79,79,0.3362133871830929,0.298898773050059,0.3299455037455753,0.3059443497881154,t,0.0009860825877478884,0.5343190980512094,True,True,0.012349071659646453
t2_NCR_glrlm_GrayLevelNonUniformity,High,Low,79,78,448.79824249760264,762.0631443105638,274.5326839817748,554.0057777824229,mannwhitney,0.0010096370728680628,-0.3041220382992535,False,True,0.012526978496696336
WT_surf_mm2,High,Low,79,79,17615.86096964003,22775.0361575356,17561.306640625,20509.201171875,mannwhitney,0.001361166563252249,-0.2953052395449447,False,False,0.01673360729135792
t1ce_ET_gldm_GrayLevelNonUniformity,High,Low,79,79,1504.172571795407,2331.202229870202,522.5408620423296,1211.5495016050008,mannwhitney,0.0013944057414739344,-0.29466431661592696,False,True,0.016986397214318837
ET_raw_vol_ml,High,Low,79,79,19.31981012658228,27.937177215189877,15.498,24.262,mannwhitney,0.001534985544447898,-0.2921006248998558,False,True,0.017140671913001525
ET_raw_voxels,High,Low,79,79,19319.810126582277,27937.177215189873,15498.0,24262.0,mannwhitney,0.001534985544447898,-0.2921006248998558,False,True,0.017140671913001525
ET_raw_vol_mm3,High,Low,79,79,19319.810126582277,27937.177215189873,15498.0,24262.0,mannwhitney,0.001534985544447898,-0.2921006248998558,False,True,0.017140671913001525
t1_ET_shape_VoxelVolume,High,Low,79,79,19319.810126582277,27937.177215189873,15498.0,24262.0,mannwhitney,0.001534985544447898,-0.2921006248998558,False,True,0.017140671913001525
t1ce_ET_shape_VoxelVolume,High,Low,79,79,19319.810126582277,27937.177215189873,15498.0,24262.0,mannwhitney,0.001534985544447898,-0.2921006248998558,False,True,0.017140671913001525
t2_ET_shape_VoxelVolume,High,Low,79,79,19319.810126582277,27937.177215189873,15498.0,24262.0,mannwhitney,0.001534985544447898,-0.2921006248998558,False,True,0.017140671913001525
ET_vol_ml,High,Low,79,79,19.31981012658228,27.937177215189877,15.498,24.262,mannwhitney,0.001534985544447898,-0.2921006248998558,False,True,0.017140671913001525
ET_vol_mm3,High,Low,79,79,19319.810126582277,27937.177215189873,15498.0,24262.0,mannwhitney,0.001534985544447898,-0.2921006248998558,False,True,0.017140671913001525
flair_ET_shape_VoxelVolume,High,Low,79,79,19319.810126582277,27937.177215189873,15498.0,24262.0,mannwhitney,0.001534985544447898,-0.2921006248998558,False,True,0.017140671913001525
ET_voxels,High,Low,79,79,19319.810126582277,27937.177215189873,15498.0,24262.0,mannwhitney,0.001534985544447898,-0.2921006248998558,False,True,0.017140671913001525
flair_ET_ngtdm_Busyness,High,Low,79,79,4.062069818050648,7.86298216733165,1.6870011776369345,2.9732479022006317,mannwhitney,0.0015721138155220988,-0.291459701970838,False,True,0.017410186056195143
t1_NCR_glszm_GrayLevelNonUniformity,High,Low,79,78,57.34483349720238,80.94184667056518,46.85163204747774,67.02039235497179,mannwhitney,0.0015889409856149428,-0.2921129503407984,False,True,0.01745230262888544
t1_NCR_ngtdm_Coarseness,High,Low,79,78,0.007108986645740601,0.006343598024415565,0.0017431700784969,0.0011489565808396,mannwhitney,0.0016276388392985465,0.2914638104511522,False,True,0.017605503084490638
t1ce_ET_shape_MeshVolume,High,Low,79,79,19284.087552742618,27867.016350210975,15181.75,23871.625,mannwhitney,0.0016685812624853069,-0.2898573946482935,False,True,0.017605503084490638
t2_ET_shape_MeshVolume,High,Low,79,79,19284.087552742618,27867.016350210975,15181.75,23871.625,mannwhitney,0.0016685812624853069,-0.2898573946482935,False,True,0.017605503084490638
flair_ET_shape_MeshVolume,High,Low,79,79,19284.087552742618,27867.016350210975,15181.75,23871.625,mannwhitney,0.0016685812624853069,-0.2898573946482935,False,True,0.017605503084490638
t1_ET_shape_MeshVolume,High,Low,79,79,19284.087552742618,27867.016350210975,15181.75,23871.625,mannwhitney,0.0016685812624853069,-0.2898573946482935,False,True,0.017605503084490638
t1ce_NCR_ngtdm_Coarseness,High,Low,79,78,0.0054128446708189,0.0037353248889385026,0.001442772392025,0.0009045648492293501,mannwhitney,0.0016873142155751154,0.2904901006166829,False,True,0.017664070694301988
t2_NCR_ngtdm_Coarseness,High,Low,79,78,0.008478202962580074,0.006712770827696455,0.0025621762864535,0.0018024267370239,mannwhitney,0.001856424203755617,0.287893541058098,False,True,0.018803669018552367
t1_ET_shape_LeastAxisLength,High,Low,79,79,27.05282877678905,31.92954606034378,27.48670809415893,31.64879836819258,t,0.0018663343130354212,-0.5035535452564744,True,True,0.018803669018552367
t2_ET_shape_LeastAxisLength,High,Low,79,79,27.05282877678905,31.92954606034378,27.48670809415893,31.64879836819258,t,0.0018663343130354212,-0.5035535452564744,True,True,0.018803669018552367
flair_ET_shape_LeastAxisLength,High,Low,79,79,27.05282877678905,31.92954606034378,27.48670809415893,31.64879836819258,t,0.0018663343130354212,-0.5035535452564744,True,True,0.018803669018552367
t1ce_ET_shape_LeastAxisLength,High,Low,79,79,27.05282877678905,31.92954606034378,27.48670809415893,31.64879836819258,t,0.0018663343130354212,-0.5035535452564744,True,True,0.018803669018552367
t1ce_ET_glrlm_RunLengthNonUniformity,High,Low,79,79,13383.752571137298,19487.69376889259,10845.455141616443,17958.79804967002,mannwhitney,0.0019227347816087412,-0.2860118570741868,False,True,0.01922734781608741
t2_NCR_shape_VoxelVolume,High,Low,79,78,9695.759493670887,15489.551282051281,6878.0,10697.5,mannwhitney,0.0020170244141261254,-0.28562155144433626,False,True,0.019305805106635772
t1ce_NCR_shape_VoxelVolume,High,Low,79,78,9695.759493670887,15489.551282051281,6878.0,10697.5,mannwhitney,0.0020170244141261254,-0.28562155144433626,False,True,0.019305805106635772
NCR_vol_ml,High,Low,79,78,9.695759493670888,15.48955128205128,6.878,10.6975,mannwhitney,0.0020170244141261254,-0.28562155144433626,False,True,0.019305805106635772
NCR_vol_mm3,High,Low,79,78,9695.759493670887,15489.551282051281,6878.0,10697.5,mannwhitney,0.0020170244141261254,-0.28562155144433626,False,True,0.019305805106635772
flair_NCR_shape_VoxelVolume,High,Low,79,78,9695.759493670887,15489.551282051281,6878.0,10697.5,mannwhitney,0.0020170244141261254,-0.28562155144433626,False,True,0.019305805106635772
t1_NCR_shape_VoxelVolume,High,Low,79,78,9695.759493670887,15489.551282051281,6878.0,10697.5,mannwhitney,0.0020170244141261254,-0.28562155144433626,False,True,0.019305805106635772
t2_ET_firstorder_Minimum,High,Low,79,79,278.79868944385385,182.9493670886076,191.0,98.0,mannwhitney,0.002037442087313917,0.25396571062329754,False,True,0.019362924801423043
